id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6353861,GREAT ROOMS next to YORK Uni !!!!!,33100782,Victor,,York University Heights,43.76812633,-79.49991612,Entire home/apt,69,1,1,8/3/2015,0.04,1,0
12835675,Private Suite york,44098156,Jay,,York University Heights,43.76680231,-79.49934995,Private room,50,1,7,1/20/2017,0.55,5,88
6017439,"Sunny Bedroom @ York University, Toronto",30753730,Jeishan,,York University Heights,43.76855047,-79.50275315,Private room,41,2,21,6/2/2017,0.88,5,136
15747098,"Spacious and sunny room, 2d floor (2A)",12846807,Victoria,,York University Heights,43.76362432,-79.49383368,Private room,59,3,4,12/4/2016,0.6,4,338
9648319,"Garden B.R.-double bed, ground fl.",12738823,David And Nicole,,York University Heights,43.75207602,-79.49336377,Private room,36,1,30,5/14/2017,1.8,1,30
15188405,Elegant house room,19657311,Gloria Geum Lee,,York University Heights,43.76871169,-79.49745676,Private room,59,1,1,9/24/2016,0.12,2,364
6831843,(6) Comfy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76942907,-79.50052178,Private room,39,2,6,5/29/2017,0.32,8,176
6831764,(3) Cozy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76873812,-79.49713237,Private room,39,1,14,5/28/2017,0.65,8,261
6830631,(2) Cozy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76804372,-79.50013465,Private room,39,2,7,4/20/2017,0.49,8,176
13449697,Art Galleria Abode,76797382,Jaime,,York University Heights,43.76574804,-79.50635996,Private room,50,2,0,,,1,90
17609797,Room in Jane/Finch/Grandravine - A2,62711919,Hang & Henry,,York University Heights,43.75231922,-79.5036084,Private room,20,2,5,5/18/2017,1.9,2,63
14594894,Modern and Stylish Executive Suite in Toronto!,90338073,Sabrina,,York University Heights,43.75143156,-79.46421371,Entire home/apt,104,3,25,5/30/2017,2.74,2,119
17181579,Room at York U rent 7 days up,43488381,Runying,,York University Heights,43.76630843,-79.50315737,Private room,42,1,3,5/31/2017,0.93,10,338
18619452,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76909324,-79.4964056,Private room,28,1,1,5/28/2017,1,10,353
